k,seed,inertia,silhouette,davies_bouldin,calinski_harabasz,mean_pairwise_ari
2,13,9100.169921875,0.04013452306389809,3.0137899639331316,13.736008644104004,0.13414150397843383
2,37,9106.1416015625,0.03993390500545502,3.6745535862355854,12.422329902648926,0.13414150397843383
2,73,9053.89453125,0.03778838366270065,1.8038178639931641,24.227413177490234,0.13414150397843383
2,101,9087.388671875,0.033050764352083206,4.145764155109461,16.606271743774414,0.13414150397843383
2,2026,9038.5625,0.033545371145009995,7.860965323329624,32.1572265625,0.13414150397843383
3,13,8961.080078125,0.019756492227315903,7.213010134442243,24.770503997802734,0.0841107174016161
3,37,8965.5087890625,0.013289673253893852,6.771012312355812,25.460533142089844,0.0841107174016161
3,73,8930.876953125,0.03766615316271782,6.378127981311837,33.544681549072266,0.0841107174016161
3,101,8980.767578125,0.03183114901185036,6.690629639983151,23.356605529785156,0.0841107174016161
3,2026,8983.447265625,0.03203343227505684,6.973721178426551,22.379159927368164,0.0841107174016161
4,13,8876.328125,0.030547255650162697,5.314006474198259,27.464189529418945,0.07132034794637866
4,37,8907.162109375,0.0337948314845562,3.3941196335144825,20.66483497619629,0.07132034794637866
4,73,8851.7578125,0.040159065276384354,3.7233548604671873,27.636714935302734,0.07132034794637866
4,101,8973.6962890625,-0.004565230570733547,4.222567302121144,16.442428588867188,0.07132034794637866
4,2026,8908.75,0.014040502719581127,5.127412617170551,22.236337661743164,0.07132034794637866
5,13,8823.2431640625,0.024172386154532433,4.432422406952403,21.889307022094727,0.03677113109102843
5,37,8804.880859375,0.027930766344070435,5.908665669882556,23.304031372070312,0.03677113109102843
5,73,8802.6875,0.035151902586221695,5.329649096274035,20.914926528930664,0.03677113109102843
5,101,8888.728515625,-0.018386073410511017,4.985577802056872,18.51760482788086,0.03677113109102843
5,2026,8755.3369140625,0.024758055806159973,4.862612874513421,30.037328720092773,0.03677113109102843
6,13,8726.759765625,0.03183307498693466,3.2939838473850167,21.885639190673828,0.06717840211515438
6,37,8710.6669921875,0.03356043994426727,4.233616852260735,22.341917037963867,0.06717840211515438
6,73,8783.318359375,0.0222069900482893,5.698772415984647,19.619882583618164,0.06717840211515438
6,101,8705.064453125,-0.00434423703700304,3.034456554217772,23.563920974731445,0.06717840211515438
6,2026,8689.88671875,0.04483260214328766,5.154253399696951,26.102811813354492,0.06717840211515438
7,13,8627.474609375,0.02425377257168293,3.0390597487417756,20.26875114440918,0.13804395049602522
7,37,8653.28125,0.028961913660168648,4.032723965709662,19.970285415649414,0.13804395049602522
7,73,8601.6015625,0.03773844987154007,4.8583080987778695,24.63309669494629,0.13804395049602522
7,101,8640.8095703125,0.009687316603958607,2.857756499222144,22.217058181762695,0.13804395049602522
7,2026,8605.798828125,0.055762145668268204,4.731149287521352,26.291152954101562,0.13804395049602522
8,13,8639.81640625,0.0333893820643425,4.421390019101764,18.958242416381836,0.16926216353112816
8,37,8550.76171875,0.03393782675266266,4.042371838512629,24.953561782836914,0.16926216353112816
8,73,8546.7421875,0.041015494614839554,4.547595499996663,21.713991165161133,0.16926216353112816
8,101,8543.6943359375,0.031000763177871704,3.249122761873157,24.74866485595703,0.16926216353112816
8,2026,8570.998046875,0.007437220774590969,2.7786289624289933,23.722698211669922,0.16926216353112816
9,13,8318.724609375,0.06667111068964005,3.934831890977239,28.717493057250977,0.21148194539135406
9,37,8414.8046875,0.049499787390232086,4.146697682919143,23.312114715576172,0.21148194539135406
