model,m,products,precision,recall,ndcg,candidate_users
Random Reverse,100,1419,0.0006906272022551092,0.001088045884348267,0.0010646274203350596,80889
Random Reverse,500,1419,0.0007033121916842848,0.006449772375668202,0.003039243977757449,80889
Random Reverse,1000,1419,0.0007040169133192389,0.012981963605303041,0.005310078879143263,80889
TF-IDF Reverse,100,1419,0.01715292459478506,0.03272132158657258,0.028538256656494308,80889
TF-IDF Reverse,500,1419,0.011529245947850599,0.07025018094253364,0.044038414903775795,80889
TF-IDF Reverse,1000,1419,0.00786892177589852,0.09410953215990382,0.05215307818430674,80889
User Activity,100,1419,0.0006906272022551092,0.0019736528419343627,0.001341242752185898,80889
User Activity,500,1419,0.0007004933051444679,0.008136439923645367,0.0039384775989991265,80889
User Activity,1000,1419,0.0006976744186046512,0.01598995697424323,0.006658478933343105,80889
