bootstrap,seed,sample_size,validation_users,silhouette,mean_pairwise_bootstrap_ari
1,13,10000,2000,0.05814114585518837,0.12006467589219345
2,37,10000,2000,0.03885798528790474,0.12006467589219345
3,73,10000,2000,0.035114917904138565,0.12006467589219345
4,101,10000,2000,0.05831870436668396,0.12006467589219345
5,2026,10000,2000,0.012948846444487572,0.12006467589219345
