model,target_item_idx,m,relevant_users,hits,precision,recall,ndcg,target_removed_from_profiles,candidate_users
Random Reverse,278,100,6,0,0.0,0.0,0.0,True,80889
Random Reverse,278,500,6,0,0.0,0.0,0.0,True,80889
Random Reverse,278,1000,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,281,100,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,281,500,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,281,1000,11,0,0.0,0.0,0.0,True,80889
User Activity,281,100,11,0,0.0,0.0,0.0,True,80889
User Activity,281,500,11,0,0.0,0.0,0.0,True,80889
User Activity,281,1000,11,0,0.0,0.0,0.0,True,80889
Random Reverse,281,100,11,0,0.0,0.0,0.0,True,80889
Random Reverse,281,500,11,0,0.0,0.0,0.0,True,80889
Random Reverse,281,1000,11,1,0.001,0.09090909090909091,0.02244556660653675,True,80889
TF-IDF Reverse,285,100,59,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,285,500,59,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,285,1000,59,0,0.0,0.0,0.0,True,80889
User Activity,285,100,59,0,0.0,0.0,0.0,True,80889
User Activity,285,500,59,0,0.0,0.0,0.0,True,80889
User Activity,285,1000,59,0,0.0,0.0,0.0,True,80889
Random Reverse,285,100,59,0,0.0,0.0,0.0,True,80889
Random Reverse,285,500,59,1,0.002,0.01694915254237288,0.0081937424453755,True,80889
Random Reverse,285,1000,59,4,0.004,0.06779661016949153,0.030078496828219708,True,80889
TF-IDF Reverse,286,100,30,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,286,500,30,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,286,1000,30,1,0.001,0.03333333333333333,0.011447122554379116,True,80889
User Activity,286,100,30,0,0.0,0.0,0.0,True,80889
User Activity,286,500,30,0,0.0,0.0,0.0,True,80889
User Activity,286,1000,30,0,0.0,0.0,0.0,True,80889
Random Reverse,286,100,30,0,0.0,0.0,0.0,True,80889
Random Reverse,286,500,30,0,0.0,0.0,0.0,True,80889
Random Reverse,286,1000,30,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,287,100,23,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,287,500,23,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,287,1000,23,0,0.0,0.0,0.0,True,80889
User Activity,287,100,23,0,0.0,0.0,0.0,True,80889
User Activity,287,500,23,0,0.0,0.0,0.0,True,80889
User Activity,287,1000,23,0,0.0,0.0,0.0,True,80889
Random Reverse,287,100,23,0,0.0,0.0,0.0,True,80889
Random Reverse,287,500,23,0,0.0,0.0,0.0,True,80889
Random Reverse,287,1000,23,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,288,100,682,3,0.03,0.004398826979472141,0.02489678566467583,True,80889
TF-IDF Reverse,288,500,682,10,0.02,0.01466275659824047,0.020215030773797413,True,80889
TF-IDF Reverse,288,1000,682,14,0.014,0.020527859237536656,0.020476500512094382,True,80889
User Activity,288,100,682,0,0.0,0.0,0.0,True,80889
User Activity,288,500,682,0,0.0,0.0,0.0,True,80889
User Activity,288,1000,682,1,0.001,0.001466275659824047,0.0012052638478555445,True,80889
Random Reverse,288,100,682,1,0.01,0.001466275659824047,0.007188374025061393,True,80889
Random Reverse,288,500,682,3,0.006,0.004398826979472141,0.005974091878938847,True,80889
Random Reverse,288,1000,682,7,0.007,0.010263929618768328,0.009361286037079872,True,80889
TF-IDF Reverse,289,100,64,5,0.05,0.078125,0.11222690126562429,True,80889
TF-IDF Reverse,289,500,64,16,0.032,0.25,0.20581433090338896,True,80889
TF-IDF Reverse,289,1000,64,16,0.016,0.25,0.20581433090338896,True,80889
User Activity,289,100,64,0,0.0,0.0,0.0,True,80889
User Activity,289,500,64,0,0.0,0.0,0.0,True,80889
User Activity,289,1000,64,0,0.0,0.0,0.0,True,80889
Random Reverse,289,100,64,0,0.0,0.0,0.0,True,80889
Random Reverse,289,500,64,1,0.002,0.015625,0.008881633973160701,True,80889
Random Reverse,289,1000,64,1,0.001,0.015625,0.008881633973160701,True,80889
TF-IDF Reverse,290,100,19,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,290,500,19,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,290,1000,19,0,0.0,0.0,0.0,True,80889
User Activity,290,100,19,0,0.0,0.0,0.0,True,80889
User Activity,290,500,19,0,0.0,0.0,0.0,True,80889
User Activity,290,1000,19,0,0.0,0.0,0.0,True,80889
Random Reverse,290,100,19,0,0.0,0.0,0.0,True,80889
Random Reverse,290,500,19,0,0.0,0.0,0.0,True,80889
Random Reverse,290,1000,19,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,291,100,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,291,500,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,291,1000,6,0,0.0,0.0,0.0,True,80889
User Activity,291,100,6,0,0.0,0.0,0.0,True,80889
User Activity,291,500,6,0,0.0,0.0,0.0,True,80889
User Activity,291,1000,6,0,0.0,0.0,0.0,True,80889
Random Reverse,291,100,6,0,0.0,0.0,0.0,True,80889
Random Reverse,291,500,6,0,0.0,0.0,0.0,True,80889
Random Reverse,291,1000,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,292,100,15,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,292,500,15,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,292,1000,15,0,0.0,0.0,0.0,True,80889
User Activity,292,100,15,0,0.0,0.0,0.0,True,80889
User Activity,292,500,15,0,0.0,0.0,0.0,True,80889
User Activity,292,1000,15,0,0.0,0.0,0.0,True,80889
Random Reverse,292,100,15,0,0.0,0.0,0.0,True,80889
Random Reverse,292,500,15,0,0.0,0.0,0.0,True,80889
Random Reverse,292,1000,15,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,293,100,8,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,293,500,8,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,293,1000,8,0,0.0,0.0,0.0,True,80889
User Activity,293,100,8,0,0.0,0.0,0.0,True,80889
User Activity,293,500,8,0,0.0,0.0,0.0,True,80889
User Activity,293,1000,8,0,0.0,0.0,0.0,True,80889
Random Reverse,293,100,8,0,0.0,0.0,0.0,True,80889
Random Reverse,293,500,8,0,0.0,0.0,0.0,True,80889
Random Reverse,293,1000,8,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,295,100,31,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,295,500,31,2,0.004,0.06451612903225806,0.028080736540322945,True,80889
TF-IDF Reverse,295,1000,31,2,0.002,0.06451612903225806,0.028080736540322945,True,80889
User Activity,295,100,31,0,0.0,0.0,0.0,True,80889
User Activity,295,500,31,0,0.0,0.0,0.0,True,80889
User Activity,295,1000,31,0,0.0,0.0,0.0,True,80889
Random Reverse,295,100,31,0,0.0,0.0,0.0,True,80889
Random Reverse,295,500,31,1,0.002,0.03225806451612903,0.012602987612845952,True,80889
Random Reverse,295,1000,31,1,0.001,0.03225806451612903,0.012602987612845952,True,80889
TF-IDF Reverse,296,100,36,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,296,500,36,2,0.004,0.05555555555555555,0.02360197975530955,True,80889
TF-IDF Reverse,296,1000,36,2,0.002,0.05555555555555555,0.02360197975530955,True,80889
User Activity,296,100,36,0,0.0,0.0,0.0,True,80889
User Activity,296,500,36,0,0.0,0.0,0.0,True,80889
User Activity,296,1000,36,0,0.0,0.0,0.0,True,80889
Random Reverse,296,100,36,0,0.0,0.0,0.0,True,80889
Random Reverse,296,500,36,2,0.004,0.05555555555555555,0.024816853708529985,True,80889
Random Reverse,296,1000,36,2,0.002,0.05555555555555555,0.024816853708529985,True,80889
TF-IDF Reverse,297,100,22,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,297,500,22,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,297,1000,22,2,0.002,0.09090909090909091,0.027758869772105992,True,80889
User Activity,297,100,22,0,0.0,0.0,0.0,True,80889
User Activity,297,500,22,0,0.0,0.0,0.0,True,80889
User Activity,297,1000,22,0,0.0,0.0,0.0,True,80889
Random Reverse,297,100,22,0,0.0,0.0,0.0,True,80889
Random Reverse,297,500,22,0,0.0,0.0,0.0,True,80889
Random Reverse,297,1000,22,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,298,100,14,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,298,500,14,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,298,1000,14,0,0.0,0.0,0.0,True,80889
User Activity,298,100,14,0,0.0,0.0,0.0,True,80889
User Activity,298,500,14,0,0.0,0.0,0.0,True,80889
User Activity,298,1000,14,0,0.0,0.0,0.0,True,80889
Random Reverse,298,100,14,0,0.0,0.0,0.0,True,80889
Random Reverse,298,500,14,0,0.0,0.0,0.0,True,80889
Random Reverse,298,1000,14,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,299,100,58,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,299,500,58,1,0.002,0.017241379310344827,0.007826437489204825,True,80889
TF-IDF Reverse,299,1000,58,7,0.007,0.1206896551724138,0.051393206038541916,True,80889
User Activity,299,100,58,0,0.0,0.0,0.0,True,80889
User Activity,299,500,58,0,0.0,0.0,0.0,True,80889
User Activity,299,1000,58,0,0.0,0.0,0.0,True,80889
Random Reverse,299,100,58,0,0.0,0.0,0.0,True,80889
Random Reverse,299,500,58,0,0.0,0.0,0.0,True,80889
Random Reverse,299,1000,58,1,0.001,0.017241379310344827,0.0071732370594021376,True,80889
TF-IDF Reverse,300,100,89,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,300,500,89,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,300,1000,89,1,0.001,0.011235955056179775,0.005333270732691394,True,80889
User Activity,300,100,89,0,0.0,0.0,0.0,True,80889
User Activity,300,500,89,0,0.0,0.0,0.0,True,80889
User Activity,300,1000,89,1,0.001,0.011235955056179775,0.005572899308178202,True,80889
Random Reverse,300,100,89,0,0.0,0.0,0.0,True,80889
Random Reverse,300,500,89,1,0.002,0.011235955056179775,0.006529612619358229,True,80889
Random Reverse,300,1000,89,1,0.001,0.011235955056179775,0.006529612619358229,True,80889
TF-IDF Reverse,301,100,42,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,301,500,42,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,301,1000,42,0,0.0,0.0,0.0,True,80889
User Activity,301,100,42,0,0.0,0.0,0.0,True,80889
User Activity,301,500,42,0,0.0,0.0,0.0,True,80889
User Activity,301,1000,42,0,0.0,0.0,0.0,True,80889
Random Reverse,301,100,42,0,0.0,0.0,0.0,True,80889
Random Reverse,301,500,42,1,0.002,0.023809523809523808,0.009914232533316976,True,80889
Random Reverse,301,1000,42,2,0.002,0.047619047619047616,0.01926531445270563,True,80889
TF-IDF Reverse,302,100,30,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,302,500,30,2,0.004,0.06666666666666667,0.02545008869555365,True,80889
TF-IDF Reverse,302,1000,30,2,0.002,0.06666666666666667,0.02545008869555365,True,80889
User Activity,302,100,30,0,0.0,0.0,0.0,True,80889
User Activity,302,500,30,0,0.0,0.0,0.0,True,80889
User Activity,302,1000,30,0,0.0,0.0,0.0,True,80889
Random Reverse,302,100,30,0,0.0,0.0,0.0,True,80889
Random Reverse,302,500,30,0,0.0,0.0,0.0,True,80889
Random Reverse,302,1000,30,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,303,100,78,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,303,500,78,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,303,1000,78,0,0.0,0.0,0.0,True,80889
User Activity,303,100,78,0,0.0,0.0,0.0,True,80889
User Activity,303,500,78,0,0.0,0.0,0.0,True,80889
User Activity,303,1000,78,0,0.0,0.0,0.0,True,80889
Random Reverse,303,100,78,0,0.0,0.0,0.0,True,80889
Random Reverse,303,500,78,0,0.0,0.0,0.0,True,80889
Random Reverse,303,1000,78,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,304,100,62,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,304,500,62,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,304,1000,62,1,0.001,0.016129032258064516,0.006979051471665123,True,80889
User Activity,304,100,62,0,0.0,0.0,0.0,True,80889
User Activity,304,500,62,0,0.0,0.0,0.0,True,80889
User Activity,304,1000,62,0,0.0,0.0,0.0,True,80889
Random Reverse,304,100,62,0,0.0,0.0,0.0,True,80889
Random Reverse,304,500,62,1,0.002,0.016129032258064516,0.008211618695049836,True,80889
Random Reverse,304,1000,62,1,0.001,0.016129032258064516,0.008211618695049836,True,80889
TF-IDF Reverse,306,100,15,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,306,500,15,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,306,1000,15,0,0.0,0.0,0.0,True,80889
User Activity,306,100,15,0,0.0,0.0,0.0,True,80889
User Activity,306,500,15,0,0.0,0.0,0.0,True,80889
User Activity,306,1000,15,0,0.0,0.0,0.0,True,80889
Random Reverse,306,100,15,0,0.0,0.0,0.0,True,80889
Random Reverse,306,500,15,0,0.0,0.0,0.0,True,80889
Random Reverse,306,1000,15,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,307,100,129,3,0.03,0.023255813953488372,0.03324065542022308,True,80889
TF-IDF Reverse,307,500,129,8,0.016,0.06201550387596899,0.05463994331242417,True,80889
TF-IDF Reverse,307,1000,129,15,0.015,0.11627906976744186,0.0833070573322529,True,80889
User Activity,307,100,129,0,0.0,0.0,0.0,True,80889
User Activity,307,500,129,0,0.0,0.0,0.0,True,80889
User Activity,307,1000,129,0,0.0,0.0,0.0,True,80889
Random Reverse,307,100,129,1,0.01,0.007751937984496124,0.009100454062766161,True,80889
Random Reverse,307,500,129,1,0.002,0.007751937984496124,0.007570386889366114,True,80889
Random Reverse,307,1000,129,2,0.002,0.015503875968992248,0.011699323460231684,True,80889
TF-IDF Reverse,309,100,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,309,500,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,309,1000,7,0,0.0,0.0,0.0,True,80889
User Activity,309,100,7,0,0.0,0.0,0.0,True,80889
User Activity,309,500,7,0,0.0,0.0,0.0,True,80889
User Activity,309,1000,7,0,0.0,0.0,0.0,True,80889
Random Reverse,309,100,7,0,0.0,0.0,0.0,True,80889
Random Reverse,309,500,7,0,0.0,0.0,0.0,True,80889
Random Reverse,309,1000,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,311,100,5,1,0.01,0.2,0.06723507268634088,True,80889
TF-IDF Reverse,311,500,5,1,0.002,0.2,0.06723507268634088,True,80889
TF-IDF Reverse,311,1000,5,1,0.001,0.2,0.06723507268634088,True,80889
User Activity,311,100,5,0,0.0,0.0,0.0,True,80889
User Activity,311,500,5,0,0.0,0.0,0.0,True,80889
User Activity,311,1000,5,0,0.0,0.0,0.0,True,80889
Random Reverse,311,100,5,0,0.0,0.0,0.0,True,80889
Random Reverse,311,500,5,0,0.0,0.0,0.0,True,80889
Random Reverse,311,1000,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,313,100,13,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,313,500,13,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,313,1000,13,0,0.0,0.0,0.0,True,80889
User Activity,313,100,13,0,0.0,0.0,0.0,True,80889
User Activity,313,500,13,0,0.0,0.0,0.0,True,80889
User Activity,313,1000,13,0,0.0,0.0,0.0,True,80889
Random Reverse,313,100,13,0,0.0,0.0,0.0,True,80889
Random Reverse,313,500,13,0,0.0,0.0,0.0,True,80889
Random Reverse,313,1000,13,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,314,100,36,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,314,500,36,1,0.002,0.027777777777777776,0.012198414890832218,True,80889
TF-IDF Reverse,314,1000,36,1,0.001,0.027777777777777776,0.012198414890832218,True,80889
User Activity,314,100,36,0,0.0,0.0,0.0,True,80889
User Activity,314,500,36,0,0.0,0.0,0.0,True,80889
User Activity,314,1000,36,0,0.0,0.0,0.0,True,80889
Random Reverse,314,100,36,0,0.0,0.0,0.0,True,80889
Random Reverse,314,500,36,0,0.0,0.0,0.0,True,80889
Random Reverse,314,1000,36,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,315,100,29,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,315,500,29,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,315,1000,29,0,0.0,0.0,0.0,True,80889
User Activity,315,100,29,0,0.0,0.0,0.0,True,80889
User Activity,315,500,29,0,0.0,0.0,0.0,True,80889
User Activity,315,1000,29,0,0.0,0.0,0.0,True,80889
Random Reverse,315,100,29,0,0.0,0.0,0.0,True,80889
Random Reverse,315,500,29,0,0.0,0.0,0.0,True,80889
Random Reverse,315,1000,29,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,316,100,25,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,316,500,25,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,316,1000,25,0,0.0,0.0,0.0,True,80889
User Activity,316,100,25,0,0.0,0.0,0.0,True,80889
User Activity,316,500,25,0,0.0,0.0,0.0,True,80889
User Activity,316,1000,25,0,0.0,0.0,0.0,True,80889
Random Reverse,316,100,25,0,0.0,0.0,0.0,True,80889
Random Reverse,316,500,25,0,0.0,0.0,0.0,True,80889
Random Reverse,316,1000,25,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,317,100,119,1,0.01,0.008403361344537815,0.01016043734727595,True,80889
TF-IDF Reverse,317,500,119,5,0.01,0.04201680672268908,0.029366718946817714,True,80889
TF-IDF Reverse,317,1000,119,7,0.007,0.058823529411764705,0.03810188693552941,True,80889
User Activity,317,100,119,0,0.0,0.0,0.0,True,80889
User Activity,317,500,119,0,0.0,0.0,0.0,True,80889
User Activity,317,1000,119,0,0.0,0.0,0.0,True,80889
Random Reverse,317,100,119,0,0.0,0.0,0.0,True,80889
Random Reverse,317,500,119,1,0.002,0.008403361344537815,0.004722107063445013,True,80889
Random Reverse,317,1000,119,3,0.003,0.025210084033613446,0.013609900296450627,True,80889
TF-IDF Reverse,318,100,33,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,318,500,33,1,0.002,0.030303030303030304,0.012785263458646175,True,80889
TF-IDF Reverse,318,1000,33,2,0.002,0.06060606060606061,0.02391186451786822,True,80889
User Activity,318,100,33,0,0.0,0.0,0.0,True,80889
User Activity,318,500,33,0,0.0,0.0,0.0,True,80889
User Activity,318,1000,33,0,0.0,0.0,0.0,True,80889
Random Reverse,318,100,33,0,0.0,0.0,0.0,True,80889
Random Reverse,318,500,33,0,0.0,0.0,0.0,True,80889
Random Reverse,318,1000,33,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,323,100,8,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,323,500,8,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,323,1000,8,0,0.0,0.0,0.0,True,80889
User Activity,323,100,8,0,0.0,0.0,0.0,True,80889
User Activity,323,500,8,0,0.0,0.0,0.0,True,80889
User Activity,323,1000,8,0,0.0,0.0,0.0,True,80889
Random Reverse,323,100,8,0,0.0,0.0,0.0,True,80889
Random Reverse,323,500,8,0,0.0,0.0,0.0,True,80889
Random Reverse,323,1000,8,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,324,100,29,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,324,500,29,1,0.002,0.034482758620689655,0.01413718278367572,True,80889
TF-IDF Reverse,324,1000,29,1,0.001,0.034482758620689655,0.01413718278367572,True,80889
User Activity,324,100,29,0,0.0,0.0,0.0,True,80889
User Activity,324,500,29,0,0.0,0.0,0.0,True,80889
User Activity,324,1000,29,0,0.0,0.0,0.0,True,80889
Random Reverse,324,100,29,0,0.0,0.0,0.0,True,80889
Random Reverse,324,500,29,0,0.0,0.0,0.0,True,80889
Random Reverse,324,1000,29,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,325,100,48,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,325,500,48,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,325,1000,48,1,0.001,0.020833333333333332,0.008537264894743987,True,80889
User Activity,325,100,48,0,0.0,0.0,0.0,True,80889
User Activity,325,500,48,0,0.0,0.0,0.0,True,80889
User Activity,325,1000,48,0,0.0,0.0,0.0,True,80889
Random Reverse,325,100,48,0,0.0,0.0,0.0,True,80889
Random Reverse,325,500,48,0,0.0,0.0,0.0,True,80889
Random Reverse,325,1000,48,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,326,100,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,326,500,7,1,0.002,0.14285714285714285,0.040228414674386065,True,80889
TF-IDF Reverse,326,1000,7,1,0.001,0.14285714285714285,0.040228414674386065,True,80889
User Activity,326,100,7,0,0.0,0.0,0.0,True,80889
User Activity,326,500,7,0,0.0,0.0,0.0,True,80889
User Activity,326,1000,7,0,0.0,0.0,0.0,True,80889
Random Reverse,326,100,7,0,0.0,0.0,0.0,True,80889
Random Reverse,326,500,7,0,0.0,0.0,0.0,True,80889
Random Reverse,326,1000,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,328,100,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,328,500,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,328,1000,11,0,0.0,0.0,0.0,True,80889
User Activity,328,100,11,0,0.0,0.0,0.0,True,80889
User Activity,328,500,11,0,0.0,0.0,0.0,True,80889
User Activity,328,1000,11,0,0.0,0.0,0.0,True,80889
Random Reverse,328,100,11,0,0.0,0.0,0.0,True,80889
Random Reverse,328,500,11,0,0.0,0.0,0.0,True,80889
Random Reverse,328,1000,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,331,100,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,331,500,6,1,0.002,0.16666666666666666,0.03729504922710147,True,80889
TF-IDF Reverse,331,1000,6,1,0.001,0.16666666666666666,0.03729504922710147,True,80889
User Activity,331,100,6,0,0.0,0.0,0.0,True,80889
User Activity,331,500,6,0,0.0,0.0,0.0,True,80889
User Activity,331,1000,6,0,0.0,0.0,0.0,True,80889
Random Reverse,331,100,6,0,0.0,0.0,0.0,True,80889
Random Reverse,331,500,6,0,0.0,0.0,0.0,True,80889
Random Reverse,331,1000,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,336,100,37,2,0.02,0.05405405405405406,0.030900829506055993,True,80889
TF-IDF Reverse,336,500,37,8,0.016,0.21621621621621623,0.1000810556855153,True,80889
TF-IDF Reverse,336,1000,37,13,0.013,0.35135135135135137,0.14867846419572878,True,80889
User Activity,336,100,37,0,0.0,0.0,0.0,True,80889
User Activity,336,500,37,1,0.002,0.02702702702702703,0.010765880349360697,True,80889
User Activity,336,1000,37,2,0.002,0.05405405405405406,0.020816583360944416,True,80889
Random Reverse,336,100,37,0,0.0,0.0,0.0,True,80889
Random Reverse,336,500,37,0,0.0,0.0,0.0,True,80889
Random Reverse,336,1000,37,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,337,100,10,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,337,500,10,3,0.006,0.3,0.08847123825712803,True,80889
TF-IDF Reverse,337,1000,10,3,0.003,0.3,0.08847123825712803,True,80889
User Activity,337,100,10,0,0.0,0.0,0.0,True,80889
User Activity,337,500,10,0,0.0,0.0,0.0,True,80889
User Activity,337,1000,10,0,0.0,0.0,0.0,True,80889
Random Reverse,337,100,10,0,0.0,0.0,0.0,True,80889
Random Reverse,337,500,10,0,0.0,0.0,0.0,True,80889
Random Reverse,337,1000,10,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,343,100,17,1,0.01,0.058823529411764705,0.02485615128252703,True,80889
TF-IDF Reverse,343,500,17,2,0.004,0.11764705882352941,0.04416825367683337,True,80889
TF-IDF Reverse,343,1000,17,3,0.003,0.17647058823529413,0.06132055931665999,True,80889
User Activity,343,100,17,0,0.0,0.0,0.0,True,80889
User Activity,343,500,17,0,0.0,0.0,0.0,True,80889
User Activity,343,1000,17,0,0.0,0.0,0.0,True,80889
Random Reverse,343,100,17,0,0.0,0.0,0.0,True,80889
Random Reverse,343,500,17,0,0.0,0.0,0.0,True,80889
Random Reverse,343,1000,17,1,0.001,0.058823529411764705,0.01651636883403017,True,80889
TF-IDF Reverse,344,100,48,1,0.01,0.020833333333333332,0.012219973106909282,True,80889
TF-IDF Reverse,344,500,48,2,0.004,0.041666666666666664,0.021763412642885567,True,80889
TF-IDF Reverse,344,1000,48,5,0.005,0.10416666666666667,0.04680113005802655,True,80889
User Activity,344,100,48,0,0.0,0.0,0.0,True,80889
User Activity,344,500,48,0,0.0,0.0,0.0,True,80889
User Activity,344,1000,48,0,0.0,0.0,0.0,True,80889
Random Reverse,344,100,48,0,0.0,0.0,0.0,True,80889
Random Reverse,344,500,48,0,0.0,0.0,0.0,True,80889
Random Reverse,344,1000,48,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,345,100,26,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,345,500,26,1,0.002,0.038461538461538464,0.013585997474574901,True,80889
TF-IDF Reverse,345,1000,26,1,0.001,0.038461538461538464,0.013585997474574901,True,80889
User Activity,345,100,26,0,0.0,0.0,0.0,True,80889
User Activity,345,500,26,0,0.0,0.0,0.0,True,80889
User Activity,345,1000,26,0,0.0,0.0,0.0,True,80889
Random Reverse,345,100,26,0,0.0,0.0,0.0,True,80889
Random Reverse,345,500,26,0,0.0,0.0,0.0,True,80889
Random Reverse,345,1000,26,2,0.002,0.07692307692307693,0.024218952265685257,True,80889
TF-IDF Reverse,346,100,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,346,500,11,1,0.002,0.09090909090909091,0.02680918083497636,True,80889
TF-IDF Reverse,346,1000,11,2,0.002,0.18181818181818182,0.04936129745945619,True,80889
User Activity,346,100,11,0,0.0,0.0,0.0,True,80889
User Activity,346,500,11,0,0.0,0.0,0.0,True,80889
User Activity,346,1000,11,0,0.0,0.0,0.0,True,80889
Random Reverse,346,100,11,0,0.0,0.0,0.0,True,80889
Random Reverse,346,500,11,0,0.0,0.0,0.0,True,80889
Random Reverse,346,1000,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,348,100,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,348,500,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,348,1000,5,0,0.0,0.0,0.0,True,80889
User Activity,348,100,5,0,0.0,0.0,0.0,True,80889
User Activity,348,500,5,0,0.0,0.0,0.0,True,80889
User Activity,348,1000,5,0,0.0,0.0,0.0,True,80889
Random Reverse,348,100,5,0,0.0,0.0,0.0,True,80889
Random Reverse,348,500,5,0,0.0,0.0,0.0,True,80889
Random Reverse,348,1000,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,349,100,263,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,349,500,263,2,0.004,0.0076045627376425855,0.006200794485032478,True,80889
TF-IDF Reverse,349,1000,263,7,0.007,0.026615969581749048,0.018332583705241868,True,80889
User Activity,349,100,263,2,0.02,0.0076045627376425855,0.015493928642366116,True,80889
User Activity,349,500,263,5,0.01,0.019011406844106463,0.015980572117653347,True,80889
User Activity,349,1000,263,9,0.009,0.034220532319391636,0.025721992971102628,True,80889
Random Reverse,349,100,263,0,0.0,0.0,0.0,True,80889
