model,target_item_idx,m,relevant_users,hits,precision,recall,ndcg,target_removed_from_profiles,candidate_users
Random Reverse,12,100,24,0,0.0,0.0,0.0,True,80889
Random Reverse,12,500,24,0,0.0,0.0,0.0,True,80889
Random Reverse,12,1000,24,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,13,100,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,13,500,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,13,1000,11,0,0.0,0.0,0.0,True,80889
User Activity,13,100,11,0,0.0,0.0,0.0,True,80889
User Activity,13,500,11,0,0.0,0.0,0.0,True,80889
User Activity,13,1000,11,0,0.0,0.0,0.0,True,80889
Random Reverse,13,100,11,0,0.0,0.0,0.0,True,80889
Random Reverse,13,500,11,0,0.0,0.0,0.0,True,80889
Random Reverse,13,1000,11,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,14,100,65,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,14,500,65,4,0.008,0.06153846153846154,0.03239110392138523,True,80889
TF-IDF Reverse,14,1000,65,4,0.004,0.06153846153846154,0.03239110392138523,True,80889
User Activity,14,100,65,0,0.0,0.0,0.0,True,80889
User Activity,14,500,65,0,0.0,0.0,0.0,True,80889
User Activity,14,1000,65,0,0.0,0.0,0.0,True,80889
Random Reverse,14,100,65,0,0.0,0.0,0.0,True,80889
Random Reverse,14,500,65,1,0.002,0.015384615384615385,0.007607658462833128,True,80889
Random Reverse,14,1000,65,1,0.001,0.015384615384615385,0.007607658462833128,True,80889
TF-IDF Reverse,15,100,18,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,15,500,18,2,0.004,0.1111111111111111,0.0401040216195178,True,80889
TF-IDF Reverse,15,1000,18,2,0.002,0.1111111111111111,0.0401040216195178,True,80889
User Activity,15,100,18,0,0.0,0.0,0.0,True,80889
User Activity,15,500,18,0,0.0,0.0,0.0,True,80889
User Activity,15,1000,18,0,0.0,0.0,0.0,True,80889
Random Reverse,15,100,18,0,0.0,0.0,0.0,True,80889
Random Reverse,15,500,18,0,0.0,0.0,0.0,True,80889
Random Reverse,15,1000,18,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,16,100,42,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,16,500,42,2,0.004,0.047619047619047616,0.0239786719383375,True,80889
TF-IDF Reverse,16,1000,42,3,0.003,0.07142857142857142,0.033121905425734836,True,80889
User Activity,16,100,42,0,0.0,0.0,0.0,True,80889
User Activity,16,500,42,0,0.0,0.0,0.0,True,80889
User Activity,16,1000,42,0,0.0,0.0,0.0,True,80889
Random Reverse,16,100,42,0,0.0,0.0,0.0,True,80889
Random Reverse,16,500,42,0,0.0,0.0,0.0,True,80889
Random Reverse,16,1000,42,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,17,100,77,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,17,500,77,1,0.002,0.012987012987012988,0.0076581113985610865,True,80889
TF-IDF Reverse,17,1000,77,2,0.002,0.025974025974025976,0.013710370392608268,True,80889
User Activity,17,100,77,0,0.0,0.0,0.0,True,80889
User Activity,17,500,77,0,0.0,0.0,0.0,True,80889
User Activity,17,1000,77,0,0.0,0.0,0.0,True,80889
Random Reverse,17,100,77,0,0.0,0.0,0.0,True,80889
Random Reverse,17,500,77,0,0.0,0.0,0.0,True,80889
Random Reverse,17,1000,77,0,0.0,0.0,0.0,True,80889
